id,time,FFFS,BIS,BAS,GDP,I,RI,RR
173,1,17,59,62,16,12,8,26
173,2,16,46,65,16,14,9,26
174,1,23,49,83,28,14,12,29
174,2,20,49,82,27,12,15,28
174,3,19,39,82,26,11,16,29
174,4,20,42,82,26,14,14,28
175,1,15,34,76,18,23,11,24
175,2,15,44,83,21,24,12,26
175,3,14,42,87,19,26,14,28
176,1,10,26,66,19,17,9,21
176,2,8,28,78,22,23,11,22
176,3,10,27,69,19,17,12,21
176,4,10,31,75,23,19,12,21
177,1,14,32,75,20,21,10,24
177,2,19,34,69,21,19,10,19
177,4,11,23,82,24,22,16,20
178,1,12,24,73,26,12,16,19
178,2,11,21,76,27,15,16,18
178,3,11,23,76,28,13,16,19
178,4,11,17,71,28,12,16,15
179,1,21,43,75,23,21,9,22
179,2,20,36,67,17,20,10,20
180,1,23,37,81,24,21,13,23
180,2,22,34,82,25,21,13,23
181,1,17,31,56,18,13,7,18
181,2,19,34,56,18,13,7,18
181,3,17,31,57,19,13,5,20
182,1,10,41,80,28,15,11,26
182,2,10,39,83,28,15,11,29
182,4,10,35,83,28,13,12,30
183,1,11,45,73,24,21,9,19
183,2,16,38,67,22,15,10,20
184,1,13,33,63,24,15,9,15
184,2,12,34,67,22,18,9,18
184,3,15,28,65,19,16,11,19
184,4,15,32,75,25,18,11,21
185,1,12,28,77,24,17,12,24
185,2,14,25,80,27,19,10,24
185,3,13,27,87,26,19,14,28
185,4,13,26,87,27,19,13,28
186,1,17,49,55,16,15,7,17
187,1,12,38,44,11,12,5,16
188,1,22,46,58,28,9,5,16
188,2,8,17,26,7,7,4,8
188,3,8,17,26,7,7,4,8
189,1,28,62,66,20,15,8,23
189,2,30,64,63,14,18,8,23
189,3,27,65,61,16,15,8,22
189,4,30,64,53,15,12,6,20
190,1,21,43,63,18,18,8,19
190,2,19,33,63,17,18,8,20
190,4,21,47,79,21,21,11,26
191,1,19,22,63,23,14,8,18
191,4,15,24,74,25,16,12,21
192,1,15,32,63,21,17,9,16
192,2,9,32,65,20,18,10,17
193,1,21,34,48,14,14,5,15
193,2,18,40,58,14,17,9,18
194,1,21,51,81,27,17,10,27
194,2,24,56,73,25,13,11,24
194,3,19,55,74,23,15,12,24
194,4,24,50,83,26,19,12,26
195,1,18,31,59,16,15,9,19
195,2,15,34,59,18,13,9,19
195,3,11,33,56,15,14,9,18
196,1,25,47,82,23,26,11,22
196,2,22,43,74,20,24,7,23
197,1,11,41,79,19,23,16,21
197,2,10,35,71,14,21,13,23
197,4,11,42,73,15,20,12,26
198,1,17,39,64,23,16,6,19
198,2,17,36,67,24,13,8,22
199,1,15,29,54,14,13,12,15
200,1,15,24,64,22,14,10,18
200,3,12,29,62,19,17,8,18
200,4,11,21,57,20,14,8,15
201,1,20,44,68,24,14,11,19
201,3,21,43,77,25,20,11,21
202,1,12,26,78,25,18,12,23
202,2,13,32,82,24,23,12,23
202,3,12,31,75,23,16,13,23
202,4,14,32,76,21,18,12,25
203,1,21,40,79,22,26,10,21
203,2,19,37,76,19,20,9,28
204,1,23,44,72,21,24,7,20
204,2,24,47,70,21,21,7,21
204,4,26,41,80,26,21,10,23
205,1,23,63,86,26,26,10,24
205,2,23,68,71,23,24,9,15
206,1,15,54,58,17,15,6,20
206,2,12,53,58,19,16,6,17
206,4,14,52,62,22,13,8,19
207,1,23,51,68,21,16,8,23
207,2,21,60,66,19,19,7,21
208,1,22,33,68,26,15,8,19
208,2,21,38,71,27,16,8,20
208,3,23,38,71,25,14,10,22
208,4,26,54,70,27,16,7,20
209,1,16,42,65,13,21,10,21
209,2,13,39,70,13,25,10,22
210,1,9,38,69,21,16,10,22
210,4,13,45,64,20,17,9,18
211,1,13,25,60,18,14,8,20
211,2,12,27,67,21,16,9,21
211,4,15,23,64,19,17,8,20
212,1,19,36,68,20,16,11,21
212,4,17,26,74,24,18,13,19
213,1,14,35,50,11,16,6,17
214,1,15,57,70,27,12,8,23
214,2,13,54,75,27,16,9,23
214,4,14,50,77,28,15,11,23
215,1,22,37,61,23,12,10,16
215,2,24,34,71,25,16,10,20
215,3,22,34,76,28,16,11,21
215,4,22,31,76,27,15,9,25
216,1,18,33,54,15,18,6,15
216,3,18,45,63,14,23,7,19
217,1,17,60,49,17,10,7,15
217,2,19,59,54,15,12,8,19
217,4,19,66,52,14,10,9,19
218,1,13,53,90,24,26,14,26
218,4,9,43,86,23,27,14,22
219,1,27,53,64,26,10,11,17
219,2,23,42,73,27,12,12,22
219,3,30,45,72,26,15,8,23
219,4,26,47,72,25,15,10,22
220,1,19,32,71,19,21,10,21
221,1,20,38,77,24,19,13,21
221,2,25,37,91,27,25,14,25
222,1,18,54,75,22,19,13,21
223,1,20,29,79,27,17,11,24
223,2,16,36,72,23,16,10,23
224,1,16,24,65,27,13,8,17
224,2,17,25,69,27,14,8,20
224,3,13,24,69,27,14,7,21
224,4,17,27,71,27,17,9,18
225,1,11,25,62,18,16,8,20
225,2,11,26,64,18,18,9,19
226,1,15,38,71,20,23,6,22
227,1,8,25,63,26,16,8,13
227,2,9,19,61,25,13,9,14
227,4,12,21,76,27,16,14,19
228,1,13,45,66,20,18,10,18
228,2,15,47,68,20,18,10,20
229,1,19,30,59,18,14,6,21
230,1,22,47,80,25,17,13,25
230,2,19,44,87,28,20,13,26
230,4,18,38,80,21,19,14,26
231,1,22,38,74,25,21,9,19
232,1,28,37,72,22,15,9,26
232,2,24,37,65,18,15,9,23
232,4,22,41,65,18,15,7,25
233,1,16,36,61,23,13,9,16
233,2,13,37,68,24,13,11,20
234,1,23,42,76,23,14,14,25
234,2,25,48,73,23,12,12,26
234,4,29,47,79,25,13,14,27
235,1,10,31,71,17,17,14,23
235,2,8,34,81,19,23,13,26
236,1,25,33,64,21,14,8,21
236,2,26,38,61,23,11,7,20
236,3,16,34,65,20,16,10,19
237,1,26,52,80,27,15,12,26
237,2,22,50,72,26,15,11,20
237,3,24,49,74,25,18,12,19
237,4,23,48,83,28,17,14,24
238,1,21,40,73,20,19,13,21
238,3,20,33,76,22,22,12,20
239,1,22,36,59,17,14,6,22
239,2,19,37,68,16,20,8,24
239,3,16,38,67,19,20,6,22
239,4,21,42,77,20,23,8,26
240,1,13,40,75,26,14,11,24
240,2,9,31,69,26,14,9,20
240,3,9,36,75,28,12,11,24
240,4,11,34,75,26,14,11,24
241,1,21,63,72,21,17,10,24
241,2,15,45,79,24,18,10,27
242,1,14,44,58,13,19,7,19
242,2,20,49,57,12,17,6,22
242,3,12,45,59,15,21,6,17
242,4,17,51,70,17,22,11,20
243,1,15,31,58,16,16,8,18
243,2,10,30,55,14,15,10,16
243,3,11,26,56,15,14,9,18
243,4,11,37,58,16,14,10,18
244,1,25,49,65,17,17,8,23
244,2,20,48,59,14,16,8,21
244,3,25,55,62,17,16,8,21
245,1,18,37,59,17,19,5,18
245,2,13,27,59,14,17,9,19
245,4,16,31,67,18,19,9,21
246,1,19,35,86,28,23,14,21
246,2,24,49,80,24,21,10,25
247,1,14,47,92,27,22,16,27
247,2,23,55,85,27,23,13,22
248,1,13,27,71,24,15,12,20
248,2,19,40,81,26,13,14,28
249,1,17,35,76,20,20,13,23
249,4,18,38,84,21,22,16,25
250,1,8,40,52,17,15,9,11
250,2,10,43,73,21,18,13,21
250,3,8,34,71,21,17,14,19
251,1,20,42,75,22,22,8,23
252,1,12,30,62,20,13,10,19
252,2,15,31,82,27,20,10,25
252,4,12,38,69,21,19,8,21
253,1,14,50,73,23,17,8,25
253,2,14,48,66,22,14,9,21
253,3,15,52,68,23,12,11,22
253,4,16,46,73,23,14,10,26
254,1,18,42,72,22,19,10,21
254,2,9,29,65,15,15,12,23
254,3,16,35,59,18,16,8,17
254,4,17,47,64,16,19,10,19
255,1,20,25,57,12,19,5,21
255,2,22,33,66,14,25,7,20
256,1,30,52,80,24,19,11,26
257,1,22,50,77,23,19,12,23
257,2,21,50,69,18,19,10,22
257,3,25,53,82,22,24,11,25
258,1,16,33,72,23,15,13,21
258,2,13,28,64,19,17,12,16
259,1,12,36,72,22,17,10,23
259,2,17,35,74,20,19,13,22
259,3,13,38,78,21,21,12,24
259,4,12,37,73,20,20,11,22
260,1,19,34,64,15,19,9,21
260,2,19,33,61,17,16,8,20
261,1,12,34,77,23,22,10,22
262,1,18,65,92,25,23,16,28
262,2,21,53,78,21,21,12,24
262,3,20,65,95,25,24,16,30
263,1,18,44,88,28,19,13,28
264,1,25,48,61,21,17,7,16
265,1,10,24,65,26,15,11,13
265,2,11,21,70,27,15,11,17
266,1,16,52,60,12,18,10,20
266,2,14,52,58,11,23,9,15
266,4,17,54,59,10,18,12,19
267,1,14,27,48,14,11,9,14
267,2,17,38,56,15,15,8,18
267,4,9,26,40,15,8,6,11
268,1,21,38,69,22,15,9,23
268,2,19,37,83,26,18,13,26
268,3,16,38,83,26,19,14,24
269,1,16,49,82,24,23,14,21
270,1,15,48,53,15,13,10,15
271,1,25,40,82,26,23,11,22
